ProvinceEN,ZipCode,latitude,longitude
Nakhon Si Thammarat,80160,8.689928571,99.84721429
Nakhon Si Thammarat,80170,8.024909091,100.2577273
Nakhon Si Thammarat,80180,7.970692308,99.97038462
Nakhon Si Thammarat,80190,8.1465,100.1436667
Nakhon Si Thammarat,80210,9.23775,99.80225
Nakhon Si Thammarat,80220,8.26,99.53833333
Nakhon Si Thammarat,80230,8.3816,99.7844
Nakhon Si Thammarat,80240,8.300571429,99.36685714
Nakhon Si Thammarat,80250,8.3938,99.6004
Nakhon Si Thammarat,80260,8.498666667,99.42316667
Nakhon Si Thammarat,80270,8.5762,99.6104
Nakhon Si Thammarat,80280,8.4265,99.8515
Nakhon Si Thammarat,80290,8.226,100.01
Nakhon Si Thammarat,80310,8.029,99.683
Nakhon Si Thammarat,80320,8.5326,99.8246
Nakhon Si Thammarat,80330,8.323,100.07875
Nakhon Si Thammarat,80340,8.8655,99.8195
Nakhon Si Thammarat,80350,8.2445,99.902
Nakhon Si Thammarat,80360,7.9885,99.475
Nan,55000,18.78038889,100.7541667
Nan,55110,18.58058824,100.7419412
Nan,55120,19.17308333,100.9439167
Nan,55130,19.4825,100.9405
Nan,55140,19.1198,100.7849
Nan,55150,18.31585714,100.6924286
Nan,55160,19.32677778,100.8086667
Nan,55170,18.6998,101.0126
Nan,55180,18.14925,100.6095
Nan,55190,18.849,100.43575
Nan,55210,18.918,100.945
Nan,55220,19.15425,101.17625
Narathiwat,96000,6.387857143,101.8145714
Narathiwat,96110,6.2265,102.022375
Narathiwat,96120,6.06975,101.99225
Narathiwat,96130,6.267888889,101.7413333
Narathiwat,96140,6.0725,101.878
Narathiwat,96150,6.381888889,101.5217778
Narathiwat,96160,5.918666667,101.859
Narathiwat,96170,6.543833333,101.6405
Narathiwat,96180,6.4115,101.6931667
Narathiwat,96190,5.931,101.739
Narathiwat,96210,6.2165,101.5145
Narathiwat,96220,6.1002,101.678
Nong Bua Lam Phu,39000,17.16793333,102.3946667
Nong Bua Lam Phu,39140,16.9003,102.5365
Nong Bua Lam Phu,39170,17.309,102.1222727
Nong Bua Lam Phu,39180,17.00283333,102.2385833
Nong Bua Lam Phu,39270,17.552375,102.263125
Nong Bua Lam Phu,39350,17.39633333,102.2683333
Nong Khai,43000,17.87261538,102.7795385
Nong Khai,43100,17.704,102.7396667
Nong Khai,43110,17.7947,102.5638
Nong Khai,43120,18.01952381,103.1832381
Nong Khai,43130,17.91842857,102.4725714
Nong Khai,43160,18.0794,102.2064
Nonthaburi,11000,13.8508,100.4852
Nonthaburi,11110,13.925625,100.39925
Nonthaburi,11120,13.91908333,100.4935833
Nonthaburi,11130,13.81255556,100.4402222
Nonthaburi,11140,13.8555,100.3888333
Nonthaburi,11150,14.00085714,100.3131429
Pathum Thani,12000,13.99642857,100.5409286
Pathum Thani,12110,14.04425,100.8035
Pathum Thani,12120,14.09671429,100.6847143
Pathum Thani,12130,13.98033333,100.6533333
Pathum Thani,12140,14.04371429,100.4144286
Pathum Thani,12150,13.97885714,100.8041429
Pathum Thani,12160,14.07427273,100.53
